model,dataset,language,question_idx,question,answer_gt,prediction,sample0_for_se,correct,f1_squad,se_entropy,n_clusters,M,temperature,se_time_s,gen_time_s,latency_s,throughput_tokens_per_sec
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,13,The flag of Libya is a plain rectangle of which color?,green,White,White,0,0.0,-0.0,1,10,0.5,0.023,81.146,81.16939053153992,0.3
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,14,Of which African country is Niamey the capital?,niger,Nigeria,Nigeria,0,0.0,-0.0,1,10,0.5,0.023,91.287,91.31000763130189,0.37
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,15,Who was the director of the CIA from 1976-81?,george bush,Carl Rove.,James Baker.,0,0.0,1.359237,5,10,0.5,0.031,113.676,113.7070070514679,0.48
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,16,Which musical featured the song The Street Where You Live?,my fair lady,"The musical that featured the song ""The Street Where You Live"" is ""West Side Story.""",The Musical: West Side Story (1957),0,0.125,1.695743,6,10,0.5,0.073,244.525,244.59792652130128,0.65
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,17,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",hitler,Ernest Holmes,Ernesto Cerdá.,0,0.0,2.163956,9,10,0.5,0.103,239.035,239.13752046585083,0.64
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,18,Who had an 80s No 1 hit with Hold On To The Nights?,richard marx,The Beatles.,Madonna.,0,0.0,1.220607,4,10,0.5,0.057,140.553,140.60951688575744,0.54
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,19,Who directed the classic 30s western Stagecoach?,john ford,John Ford,John Ford,1,1.0,-0.0,1,10,0.5,0.025,90.91,90.93497673034668,0.35
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,20,Dave Gilmore and Roger Waters were in which rock group?,pink floyd,The Rolling Stones.,The Rolling Stones.,0,0.0,1.0889,4,10,0.5,0.065,144.152,144.21672063064574,0.57
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,21,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Highway to Hell,Highway to Hell,0,0.0,1.279854,4,10,0.5,0.094,191.621,191.7145184955597,0.62
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,22,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,East Germany (GDR),East Germany (GDR),0,0.0,-0.0,1,10,0.5,0.035,126.464,126.49900008583069,0.52
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,23,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,"The 90s sci-fi series with James Belushi that was based on Bruce Wagner's comic strip of the same name is ""The X-","The 90s sci-fi series with James Belushi that was based on Bruce Wagner's comic strip of the same name is ""The X-",0,0.0,0.639032,3,10,0.5,0.131,402.159,402.2896083202362,0.69
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,24,If I Were A Rich Man Was a big hit from which stage show?,fiddler on the roof,Broadway.,Broadway.,0,0.0,0.897946,3,10,0.5,0.232,205.576,205.8079710254669,0.63
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,25,Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,mutiny on the bounty,Pitcairn's Island.,Pitcairn's Island.,0,0.0,0.943348,3,10,0.5,0.093,302.189,302.2815190448761,0.64
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,26,What was Truman Capote's last name before he was adopted by his stepfather?,persons,Truman Capote.,Truman.,0,0.0,1.168282,4,10,0.5,0.093,138.307,138.40006263923644,0.43
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,27,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into ",a boojum,The Snark turned into a beautiful white rabbit.,The Snark turned into a chicken.,0,0.0,1.497866,6,10,0.5,0.061,208.48,208.5410008239746,0.51
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,28,"In the Bible, who did the sun and moon stand still before?",joshua,Jehovah God.,Adam and Eve.,0,0.0,1.973001,8,10,0.5,0.144,166.191,166.33456637001038,0.48
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,29,What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,dangerous minds,Gangsta's Paradise (1985),Gangsta's Paradise (1986),0,0.0,1.643418,6,10,0.5,0.112,380.411,380.5234532222748,0.63
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,30,What was President Gerald Ford's middle name?,rudolph,Ford,Ford,0,0.0,-0.0,1,10,0.5,0.02,75.379,75.3985107460022,0.28
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,31,Art Garfunkel trained for which profession although he didn't qualify?,architect,Musician,Musician,0,0.0,0.801819,3,10,0.5,0.034,102.226,102.25951640701294,0.37
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,32,Who was the last inmate of Spandau jail in Berlin?,rudolf hess,Wolfgang Klemm,Albert Einstein,0,0.0,2.025326,8,10,0.5,0.036,151.779,151.81451721572876,0.48
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,33,What was Eddie Murphy's first movie?,48 hours,"Eddie Murphy's first movie is ""The Nutty Professor"" (1984).","Eddie Murphy's first movie is ""The Nutty Professor"" (1996), directed by Robert Zemeckis and starring him as",0,0.0,1.609438,6,10,0.5,0.078,319.566,319.64351607894895,0.61
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,34,In the 80s who wrote the novel Empire of The Sun?,j. g. ballard,J.G. Ballard.,JFK,0,0.6667,1.609438,6,10,0.5,0.033,121.795,121.82791082382202,0.42
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,35,Kagoshima international airport is in which country?,japan,Japan,Japan,1,1.0,-0.0,1,10,0.5,0.072,74.076,74.1475274810791,0.27
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,36,In which sport could the Pacers take on the Pistons?,a: basketball,Basketball.,Basketball.,1,1.0,-0.0,1,10,0.5,0.024,99.915,99.93900088310242,0.39
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,37,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,stars on 45 medley,"""Cherry Pie"" by The Beach Boys.","""Cherry Pie"" by The Crickets.",0,0.0,2.163956,9,10,0.5,0.069,235.258,235.32673512268067,0.55
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,38,Where in Canada is the Lion's Gate bridge?,vancouver,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",0,0.4,0.500402,2,10,0.5,0.033,140.459,140.4915176715851,0.47
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,39,What was Walter Matthau's first movie?,the kentuckian,"The first movie that Walter Matthau starred in was ""On the Waterfront"" (1954).","""Breakfast at Tiffany's"" (1967)",0,0.0,1.0889,4,10,0.5,0.119,376.803,376.9218633441925,0.63
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,40,Otis Barton was a pioneer in exploring where?,underwater,place,place,0,0.0,0.940448,4,10,0.5,0.028,79.981,80.0085056362152,0.3
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,41,Where in England was actor Nigel Hawthorne born?,coventry,"London, United Kingdom.","Nigel Hawthorne was born in London, England.",0,0.6667,1.418484,5,10,0.5,0.054,209.252,209.30550661277772,0.55
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,42,"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon",a manticore,Centaur.,Centaur,0,0.0,1.279854,4,10,0.5,0.029,109.805,109.83400385856629,0.35
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,43,"In Greek mythology, who were Arges, Brontes and Steropes?",cyclopes,"Arges, Brontes, and Steropes were three gods in Greek mythology who were known for their bravery and heroism. Arges was the","Arges, Brontes, and Steropes were three siblings of Zeus, the king of gods in Greek mythology. They were born on the same",0,0.0,0.610864,2,10,0.5,0.145,456.1,456.2449203491211,0.63
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,44,Which musician founded the Red Hot Peppers?,jelly roll morton,Joni Mitchell.,Joni Mitchell.,0,0.0,0.940448,4,10,0.5,0.03,114.344,114.37418116950988,0.43
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,45,Where did the Shinning Path terrorists operate?,peru,The Shining Path terrorist organization operated in Peru from 1980 to 1992.,Unknown.,1,0.1667,1.643418,6,10,0.5,0.11,360.986,361.0955154285431,0.64
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,46,How old was Jimi Hendrix when he died?,27,"Jimi Hendrix passed away on May 18, 1970.","Jimi Hendrix passed away on July 31, 1970 at the age of 25.",0,0.0,0.325083,2,10,0.5,0.055,328.588,328.6427664165497,0.6
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,47,Which Brit broke the land speed record in 1990 in Thrust 2?,richard noble,Richard Branson.,Michael Schumacher,0,0.5,2.025326,8,10,0.5,0.033,125.86,125.89299808502197,0.42
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,48,In which state was Gene Vincent born?,virginia,New York,New York,0,0.0,0.500402,2,10,0.5,0.034,94.976,95.00951855278015,0.38
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,49,How was the European Recovery Program in the 1940s more commonly known?,marshall plan,The European Recovery Program (ERP) in the 1940s was more commonly known as the Marshall Plan.,The European Recovery Program (ERP) in the 1940s was more commonly known as the Marshall Plan.,1,0.375,-0.0,1,10,0.5,0.102,410.979,411.0805381813049,0.61
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,50,Brandon Lee died during the making of which movie?,the crow,"The movie Brandon Lee died during the making of ""The Crow.""","""Clash of the Titans"" (1984)",1,0.2222,0.940448,4,10,0.5,0.119,301.227,301.34636545372007,0.6
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,51,Who had a 70s No 1 hit with Let's Do It Again?,the staple singers,"The 70s No 1 hit with ""Let's Do It Again"" was performed by The Beatles.","The 70s No 1 hit with ""Let's Do It Again"" was performed by The Beatles.",0,0.0,1.168282,4,10,0.5,0.082,276.036,276.1175153121948,0.58
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,52,Who had a Too Legit To Quit Tour?,mc hammer,"The band ""Too Legit To Quit"" had a tour.",Lil Wayne.,0,0.1818,2.025326,8,10,0.5,0.076,140.587,140.6625145549774,0.47
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,53,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",triumph and disaster,Two Impostors (1897) by Rudyard Kipling,Two Imposters (1897) by Rudyard Kipling.,0,0.0,1.695743,6,10,0.5,0.089,373.296,373.38451504325866,0.62
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,54,Who is the most successful UK solo artist in the USA?,elton john,Taylor Swift,"The most successful UK solo artist in the USA is Taylor Swift, who has achieved numerous chart-topping hits and sold over 275 million records",0,0.0,1.504788,5,10,0.5,0.09,210.597,210.68651687812806,0.55
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,55,Which country does the airline TAAG come from?,angola,TAAG is an airline that comes from Germany.,Tunisia,0,0.0,1.05492,3,10,0.5,0.144,153.769,153.91283268356324,0.49
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,56,Which US No 1 single came from Diana Ross's platinum album Diana?,upside down,"""Love Story""","""Reflections""",0,0.0,1.834372,7,10,0.5,0.082,188.57,188.65151960372924,0.51
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,57,River Phoenix died during the making of which movie?,dark blood,"The movie that River Phoenix died during the making of is ""Romeo and Juliet.""","The movie that River Phoenix died during the making of is ""Romeo and Juliet"".",0,0.0,1.748067,7,10,0.5,0.084,310.643,310.7265347175598,0.61
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,58,Which artist David was born in Bradford UK?,hockney,David,David,0,0.6667,-0.0,1,10,0.5,0.061,73.797,73.85800010871887,0.27
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,59,What is Mel Gibson's middle name?,columcille,Gibson,Gibson.,0,0.0,0.943348,3,10,0.5,0.037,99.641,99.67800017929078,0.39
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,60,Richard Daley was mayor of which city for 21 years?,chicago,Chicago,Chicago,1,1.0,0.325083,2,10,0.5,0.037,104.852,104.88900065612793,0.37
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,61,"""In which movie did Garbo say, """"I want to be alone"""".""",grand hotel,"In the movie ""The Thin Man,"" Marlowe (played by William Powell) says the famous line, ""I want to be alone,"" as","""Gloria Swanson said, ""I want to be alone,"" in the 1937 film ""The Man Who Would Be King",0,0.0,2.163956,9,10,0.5,0.128,452.962,453.08952509117125,0.66
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,62,What is Osbert Lancaster best known for producing?,cartoons,"Osbert Lancaster is best known for producing television and radio programs, particularly his long-running sketch comedy series ""The Lark"" which aired from 1","Osbert Lancaster is best known for producing comedy television shows and radio programs. Some of his most popular productions include ""The Comic Strip,"" ""The Ro",0,0.0,1.497866,6,10,0.5,0.154,422.143,422.29729925918576,0.65
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,63,Who was the defending champion when Martina Navratilova first won Wimbledon singles?,virginia wade,Martina Navratilova.,Martina Navratilova.,0,0.0,0.801819,3,10,0.5,0.025,159.605,159.63018463134765,0.49
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,64,Who was the first US-born winner of golf's British Open?,walter hagen,Jack Nicklaus,Jack Nicklaus,0,0.0,0.940448,4,10,0.5,0.028,106.785,106.81300059318542,0.39
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,65,In which country is the Sky Train Rail bridge?,canada,Japan,Japan.,0,0.0,1.834372,7,10,0.5,0.098,85.036,85.13353918647766,0.33
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,66,What was the Paramount Film Company originally called?,famous players film company,Paramount Pictures,Paramount Pictures,0,0.0,-0.0,1,10,0.5,0.029,105.454,105.4834005870819,0.41
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,67,Who was the first person after Scott to reach the South Pole overland?,edmond hillary,Anton Zavolotsky.,John Muir.,0,0.0,1.470808,5,10,0.5,0.066,150.9,150.96606769561768,0.48
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,68,Which journalist first told the world about the My Lai massacre?,seymour hersh,James F. Byrd,Robert Schutte,0,0.0,1.497866,6,10,0.5,0.03,117.425,117.45500116348266,0.43
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,69,What is the name of Terence and Shirley Conran's dress designer son?,jasper,The name of Terence and Shirley Conran's dress designer son is Christopher Conran.,Tom Conran.,0,0.0,0.673012,2,10,0.5,0.073,187.419,187.4920082988739,0.54
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,70,Which drink did The Spice Girls promote?,pepsi,"Spice Girls promoted a variety of drinks during their career, including:

1. Pepsi: They were one of the first pop stars to endorse Pepsi,",Spice Girl's official poster.,0,0.1429,1.643418,6,10,0.5,0.128,342.804,342.93205318832395,0.66
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,71,Who was the youngest brother in the Beach Boys?,carl wilson,Mike Love.,Mike Beachy.,0,0.0,0.801819,3,10,0.5,0.04,107.303,107.34300616073608,0.44
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,72,Who first hosted Family Feud?,richard dawson,Steve Harvey.,Jeepers Creeps! That would be Steve Harvey. He hosted the first season of Family Feud from 1985 to 1,0,0.0,2.025326,8,10,0.5,0.277,297.5,297.7772767543793,0.63
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,73,What did the Lone Ranger's title Kemo Sabe mean in Apache?,white shirt,"Kemo Sabe was the Apache warrior and leader of the Comanche tribe. In Apache culture, the title ""Kemo Sabe"" referred to","Kemo Sabe means ""white man"" in Apache.",0,0.0,1.279854,4,10,0.5,0.105,306.278,306.3831223278046,0.61
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,74,Who or what was Gentle Ben in the 60s TV series?,bear cub,"Gentle Ben was a fictional character on the 1960s TV series ""The Andy Griffith Show."" He was a recurring character played","Gentle Ben was a fictional character on the 1960s TV series ""The Andy Griffith Show."" He was a small town police",0,0.0,-0.0,1,10,0.5,0.109,446.927,447.03552837562563,0.66
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,75,Which 70s show was based on the British show Till Death Us Do Part?,all in the family,Till Death Us Do Part.,"The 70s show that was based on the British show Till Death Us Do Part is ""Till Death Us Do Part.""",0,0.2,0.639032,3,10,0.5,0.103,403.245,403.34793459892273,0.65
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,76,On what date in 1969 did Neil Armstrong first set foot on the Moon?,july 20th,"July 20, 1969.","July 20, 1969",1,0.8,-0.0,1,10,0.5,0.034,209.504,209.53811722183227,0.55
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,77,Bandar Seri Begawan International airport is in which country?,brunei,Malaysia,Indonesia,0,0.0,1.470808,5,10,0.5,0.041,126.25,126.29100108146667,0.44
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,78,What was the profession of Paul Strand (1890 - 1976)?,photographer,Photographer.,Photographer.,1,1.0,0.325083,2,10,0.5,0.027,102.091,102.11751047706603,0.35
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,79,Who had a 60s No 1 with Downtown?,petula clark,Downtown,Downtown by The Beatles (1965),0,0.0,1.418484,5,10,0.5,0.099,247.295,247.39383189201354,0.61
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,80,"Who was born first, Kiefer Sutherland or Christian Slater?",kiefer sutherland,"Christian Slater was born first, on January 27, 1960, in Los Angeles, California.","Christian Slater was born first, on April 12, 1960.",0,0.0,0.639032,3,10,0.5,0.088,389.996,390.08351678466795,0.64
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,81,"To the nearest two, how many tennis Grand Slam titles did Jimmy Connors win?",10,2. Wimbledon,2. Wimbledon,0,0.0,1.05492,3,10,0.5,0.07,102.567,102.63748296928405,0.35
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,82,Who was the Georgia Peach?,ty cobb,"Georgia Peach is a type of peach that originated in Georgia, United States. It is known for its sweet and juicy flesh, which is often used in",Georgia Peach is a popular dessert that originated in the state of Georgia in the United States. The recipe for a classic peach pie typically includes sliced fresh pe,1,0.2857,-0.0,1,10,0.5,0.107,458.485,458.59188185691835,0.65
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,83,Who set fire to his guitar at the Monterey Pop festival in 19676?,jimi hendrix,Jerry Garcia.,Jerry Garcia,0,0.0,-0.0,1,10,0.5,0.025,114.711,114.73600033378601,0.33
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,84,Della Street was whose secretary?,perry mason,Della Street was the secretary of President Franklin D. Roosevelt during his time as the 32nd President of the United States.,Mrs. Della Street was the secretary of the household.,0,0.1429,1.834372,7,10,0.5,0.091,266.062,266.1531903381348,0.55
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,85,"In music, who was Sweet and Innocent and Too Young?",donny osmond,"Sweet and Innocent is a song by American singer-songwriter Andy Williams, released in 1957 as his first hit single. The song","The song ""Sweet and Innocent"" by The Beatles is about a young girl named Mary Jane Lennon, who is described as being sweet, innocent,",0,0.087,2.163956,9,10,0.5,0.12,413.631,413.7505256710052,0.66
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,86,Who is featured on Puff Daddy's Can't Hold Me Down?,mase,"Puff Daddy's ""Can't Hold Me Down"" features the song ""I Want It That Way"" by Backstreet Boys.",Puff Daddy's Can't Hold Me Down features rapper DMX.,0,0.0,2.025326,8,10,0.5,0.128,316.054,316.1822479763031,0.66
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,87,What had Edmond Hillary worked at before taking up mountain climbing?,bee keeping,"Edmond Hillary had previously worked as a mountaineer and climber for various organizations and expeditions, including the British Mountaineering Council, the",Edmond Hillary had worked as a mountaineer and climber for various organizations and companies prior to taking up mountain climbing. Some of the notable organizations,0,0.0,0.325083,2,10,0.5,0.115,419.351,419.46577041244507,0.67
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,88,In which American state is the Isabella Stewart Gardner Museum?,massachusetts,Massachusetts.,Massachusetts.,1,1.0,-0.0,1,10,0.5,0.031,103.022,103.05301086616517,0.39
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,89,Benina international airport is in which country?,libya,Benin,Benina International Airport is located in the country of Benin.,0,0.0,0.673012,2,10,0.5,0.057,195.93,195.98650639533997,0.55
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,90,Beloved in 1999 was whose first movie since The Color Purple in 1985?,oprah winfrey,Meryl Streep.,The Color Purple (1985),0,0.0,1.359237,5,10,0.5,0.032,161.409,161.44100006484985,0.46
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,91,Which Star Trek star directed Three Men and a Baby?,leonard nimoy,William Shatner.,David P. Leitch,0,0.0,1.609438,6,10,0.5,0.035,124.978,125.013001039505,0.45
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,92,Which sitcom star appeared on the big screening The Object of My Affection?,jennifer aniston,Marlon Brando,Julie Andrews,0,0.0,1.609438,6,10,0.5,0.034,118.997,119.03100015830994,0.42
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,93,"""Which character did Julia """"Roberts play in Steven Spielberg's Hook?""",tinkerbell,"Julia Roberts played the role of Mrs. Doubtfire in Steven Spielberg's 1983 film ""Hook.""","Julia Roberts played the role of Mrs. Doubtfire in Steven Spielberg's 1987 film ""Hook.""",0,0.0,0.325083,2,10,0.5,0.088,405.22,405.3076398086548,0.62
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,94,Which US president did Anthony Hopkins play in a film whose title was simply his name?,nixon,"Anthony Hopkins played the role of President Theodore Roosevelt in the 1932 film ""Theodore Roosevelt,"" which is simply titled ""Roosevelt","Anthony Hopkins played the role of President Theodore Roosevelt in the 1972 film ""Theodore Roosevelt.""",0,0.1739,2.025326,8,10,0.5,0.122,401.481,401.60298638916015,0.65
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,95,Which movie was a biopic about the life of David Helfgott?,shine,"The movie ""David Helfgott: A Life"" is a biopic about the life of David Helfgott, an American composer and","The movie ""David Helfgott: A Life"" is a biopic about the life of David Helfgott, a German composer known",0,0.0,1.227529,5,10,0.5,0.108,443.947,444.0545179576874,0.65
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,96,Which film director guested as the FBI Director in The Silence of the Lambs?,roger corman,Francis Ford Coppola.,Christopher Nolan.,0,0.0,1.0889,4,10,0.5,0.042,134.364,134.4061977043152,0.45
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,97,In which sci fi classic did the space ship Nostromo first appear?,alien,Star Trek: The Wrath of Khan (1982),Star Trek: The Original Series (1967),0,0.0,0.801819,3,10,0.5,0.106,274.635,274.7408201789856,0.6
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,98,Nigel Hawthorne was Oscar nominated for The Madness of which King?,george,Oscar.,Oscar.,0,0.0,1.418484,5,10,0.5,0.044,161.22,161.26351687431335,0.51
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,99,Which Swedish actress won the Best Supporting Actress Oscar for Murder on the Orient Express?,ingrid bergman,Meryl Streep,Meryl Streep,0,0.0,1.834372,7,10,0.5,0.034,122.788,122.82155836868286,0.41
Qwen/Qwen1.5-1.8B-Chat,bioasq,en,0,Which thyroid hormone transporter is implicated in thyroid hormone resistance syndrome?,th monocarboxylate transporter 8 (mct8) mutation is implicated in the th resistance syndrome,TSH transporter 1 (TSHR1),TSH transporter 3 (TSHr3),0,0.125,0.500402,2,10,0.5,0.05,65.758,65.80801473426818,1.55
